Название,Ссылка,Адрес места,Метро,Время до метро,Рейтинг,Отзывы,Подкатегории
Кофе & Выпечка,https://zoon.ru/msk/restaurants/kofejnya_kofe_vypechka_na_amurskoj_ulitse_2a_k_4/,"Амурская улица, 2Ак4, Москва",Локомотив,8 мин.,4.8,6,"Кафе, Чайный клуб, Точка по продаже шаурмы, Рестораны, •, •, •"
Хинкалье,https://zoon.ru/msk/restaurants/restoran_hinkale/,"улица 15 лет Комсомола, 2, 2 этаж, Истра",Нет данных,Нет данных,4.6,11,"Хинкальная, Гриль-бар, Винный бар, Рестораны, •, •, •"
Долина,https://zoon.ru/msk/restaurants/chajhana_dolina_na_prospekte_mira/,"проспект Мира, 119, стр. 60, ВДНХ, павильон 60, Москва",Ботанический сад,21 мин.,4.7,23,"Кафе, Чайный клуб, Банкетный зал на 400 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Пинта,https://zoon.ru/msk/restaurants/pivnoj_restoran_pinta_na_ulitse_marshala_vasilevskogo/,"Маршала Василевского, 17, 2 этаж, Москва",Щукинская,1 мин.,4,13,"Гриль-бар, Шашлычная, Рестораны, •, Закусочная с карри, •, •"
G. M. Coffee,https://zoon.ru/msk/restaurants/kofejnya_g_m_coffee_na_taganskoj_ulitse/,"Таганский район, 109147, Таганская улица, 1/2 с2, Москва",Марксистская,1 мин.,4.8,6,"Кафе, Бар молочных коктейлей, Уличная еда, Рестораны, •, •, •"
А что если,https://zoon.ru/msk/restaurants/bar_a_chto_esli_na_metro_aeroport/,"проезд Аэропорта, 8с10, Москва",Аэропорт,10 мин.,5,3,"Винный бар, Рюмочная, Кальянная, Рестораны, •, •, •"
"""Диван""",https://zoon.ru/msk/restaurants/kafe_divan_na_metro_kievskaya/,"Брянская улица, 5, 1 этаж, БЦ ""Европа Билдинг"", Москва",Киевская,4 мин.,4.9,2,"Кафе, Бабл ти бар, Банкетный зал для корпоратива, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Штопор,https://zoon.ru/msk/restaurants/rok-bar_shtopor_na_sharikopodshipnikovskoj_ulitse/,"Шарикоподшипниковская улица, 38 ст1, 1 этаж, Москва",Дубровка (Московское центральное кольцо),3 мин.,4.3,37,"Кафе, Семейный ресторан, Винный бар, Рестораны, •, •, •"
River one,https://zoon.ru/msk/restaurants/bar_river_one/,"улица Мясницкая, 13 ст2, 1 этаж, Москва",Лубянка,6 мин.,4.8,1,"Бар, Кальян, Рестораны, •, •"
Ваш Гогис,https://zoon.ru/msk/restaurants/restoran_gruzinskoi_kukhni_vash_gogis_v_kommunarke/,"Москва, посёлок улица Потаповская Роща, 24к2, Коммунарка",Потапово,16 мин.,4.7,1,"Кафе, Домашняя кухня, Тематический ресторан, Рестораны, •, •, •"
Территория,https://zoon.ru/msk/restaurants/bar-restoran_territoriya_na_lipetskoj_ulitse/,"Липецкая улица, 22, 2 этаж, Москва",Орехово,39 мин.,4.3,120,"Кафе, Чайный клуб, Семейный ресторан, Рестораны, •, •, •"
МЫ lounge bar,https://zoon.ru/msk/restaurants/kalyannaya_my_lounge_bar_na_shelepihinskoj_naberezhnoj/,"Шелепихинская набережная, 34 к1, 2 этаж, Москва",Шелепиха,14 мин.,4.5,8,"Бабл ти бар, Кальянная, Фреш-бар, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Гранд,https://zoon.ru/msk/restaurants/banketnyj_zal_grand_v_lyublino/,"Тихорецкий бульвар, 1с19, Москва",Люблино,15 мин.,4.4,4,"Банкетный зал на 500 человек, Банкетный зал на 150 человек, Паназиатская кухня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
La Provincia,https://zoon.ru/msk/restaurants/kafe_restoran_la_provincia_na_metro_oktyabrskaya/,"Калужская площадь, 1к2, 1 этаж, Москва",Октябрьская,5 мин.,4.5,68,"Банкетный зал на 150 человек, Банкетный зал на 100 человек, Банкетный зал на новый год, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Villa Barvikha 135,https://zoon.ru/msk/restaurants/banketnyj_zal_villa_barvikha_135/,"посёлок Барвиха, 135, 1 этаж, Москва",Нет данных,Нет данных,4,5,"Домашняя кухня, Банкетный зал на 400 человек, Банкетный зал на 250 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
NOVA Tea & Coffee,https://zoon.ru/msk/restaurants/kofejnya_nova_tea_coffee_na_dolgorukovskoj_ulitse_39_6/,"Долгоруковская улица, 39/6, цокольный этаж, Москва",Новослободская,1 мин.,4,2,"Бабл ти бар, Кондитерские изделия, Кофейня, Рестораны, •, •, •"
Флокс,https://zoon.ru/msk/restaurants/kafe_floks/,"Серебрянический переулок, 6, Москва",Чкаловская,14 мин.,4.4,1,"Кафе, Домашняя кухня, Семейный ресторан, Рестораны, •, •, •"
Prolive,https://zoon.ru/msk/restaurants/ryumochnaya_prolive/,"Никитский бульвар, 12, цокольный этаж, Москва",Арбатская (Филевская линия),6 мин.,4.5,2,"Кафе, Домашняя кухня, Уличная еда, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Север-Метрополь,https://zoon.ru/msk/restaurants/kafe-konditerskaya_sever-metropol_na_metro_tulskaya/,"Люсиновская улица, 66, 1 этаж, Москва",Тульская,12 мин.,4.8,5,"Кондитерские изделия, Кондитерская, Кофейня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
ГрандПирог,https://zoon.ru/msk/restaurants/sluzhba_dostavki_gotovyh_blyud_grandpirog/,"Бакунинская улица, 14 ст16, Москва",Бауманская,2 мин.,4.9,7,"Хинкальная, Шашлычная, Вегетарианская кухня, Рестораны, •, •, •"
Sabor de la Vida,https://zoon.ru/msk/restaurants/restoran_sabor_de_la_vida_na_metro_ulitsa_1905_goda/,"улица 1905 года, 10с1, 1 этаж, Москва",Улица 1905 года,6 мин.,4.1,16,"Банкетный зал на 25 человек, Банкетный зал на 40 человек, Банкетный зал на 50 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Джанни Хинкали,https://zoon.ru/msk/restaurants/restoran_dzhanni_hinkali/,"проспект Мира, 118, Москва",Алексеевская,3 мин.,4.9,35,"Тематический ресторан, Восточная кухня, Семейный ресторан, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Бамбини бар,https://zoon.ru/msk/restaurants/restoran_bambini_bar/,"проезд Берёзовой Рощи, 12, этаж 1, Москва",ЦСКА,13 мин.,5,7,"Кафе, Домашняя кухня, Чайный клуб, Рестораны, •, •, •"
LALALAND,https://zoon.ru/msk/restaurants/restoran_i_karaoke_lalaland_na_metro_shabolovskaya/,"Донской район, 115419, улица Шаболовка, 31Г, Москва",Шаболовская,2 мин.,4.7,108,"Кафе, Банкетный зал на 70 человек, Банкетный зал на 80 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Moonrise Coffee,https://zoon.ru/msk/restaurants/moonrise_coffee/,"Береговой проезд, 1а, 1 этаж, Москва",Шелепиха,12 мин.,4.2,6,"Кафе, Блинная, Фреш-бар, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
The ЛЁД,https://zoon.ru/msk/restaurants/banketnyj_zal_the_lyod_na_bolshoj_ochakovskoj_ulitse/,"Большая Очаковская улица, 2с23, Москва",Аминьевская,7 мин.,4.4,6,"Круглосуточный бар, Фастфуд круглосуточно, Круглосуточный ресторан, Рестораны, •, •, •"
Сесилиа,https://zoon.ru/msk/restaurants/restoran_sesilia_na_michurinskom_prospekte/,"Мичуринский проспект, 16, Москва",Раменки,10 мин.,4.4,9,"Банкетный зал на 100 человек, Банкетный зал на новый год, Банкетный зал для корпоратива, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Долина,https://zoon.ru/msk/restaurants/chajhana_dolina_na_ploschadi_evropy_1a/,"площадь Европы, 1А, Москва",Киевская,2 мин.,4.8,14,"Восточная кухня, Чайхана, Пельменная, Рестораны, •, •, •"
Molko,https://zoon.ru/msk/restaurants/kofejnya_molko_v_zhk_skandinaviya/,"Москва, поселение улица Эдварда Грига, 18 к1, Сосенское",Бунинская аллея,28 мин.,4.7,3,"Кофейня, Кофе на вынос, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •"
ШашлыкЛАБ,https://zoon.ru/msk/restaurants/kafe_shashlyklab/,"район Кузьминки, 109462, Волжский бульвар, 51 с3, Москва",Волжская,6 мин.,5,1,"Домашняя кухня, Шашлычная, Кавказская кухня, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Кап-кап,https://zoon.ru/msk/restaurants/kofejnya_kap-kap_na_metro_sokol/,"улица Самеда Вургуна, 11, 1 этаж, Москва",Сокол,12 мин.,4.6,3,"Кафе, Домашняя кухня, Уличная еда, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Matata Family Bubble tea&coffee,https://zoon.ru/msk/restaurants/kofejnya_matata_family_bubble_teacoffee_na_metro_streshnevo/,"Волоколамское шоссе 24к1, Москва",Стрешнево,2 мин.,4.1,9,"Бабл ти бар, Кондитерские изделия, Кофейня, Рестораны, •, •, •"
Шарль Азнавур,https://zoon.ru/msk/restaurants/restoran_sharl_aznavur_na_zavodskoj_ulitse_v_himkah/,"Заводская улица, 2 с1, 2 этаж, Химки",Ховрино,4.5 км,4.3,16,"Банкетный зал на 500 человек, Банкетный зал для корпоратива, Банкетный зал для дня рождения, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Lubeer,https://zoon.ru/msk/restaurants/restoran_lubeer_v_lyubertsah/,"Инициативная улица, 2а, 2 этаж, Люберцы",Жулебино,30 мин.,4.3,110,"Банкетный зал с караоке, Банкетный зал для корпоратива, Банкетный зал для дня рождения, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
Volzh street food,https://zoon.ru/msk/restaurants/volzh_street_food/,"Волжский бульвар, 51с22, Москва",Волжская,8 мин.,5,1,"Точка по продаже шаурмы, Фастфуд, Кофейня, Рестораны, •, •, •"
Муган,https://zoon.ru/msk/restaurants/restoran_mugan_v_yasenevo/,"Соловьиный проезд, 6а, цокольный этаж, Москва",Ясенево,21 мин.,3.7,11,"Банкетный зал на 70 человек, Банкетный зал на 300 человек, Банкетный зал на 40 человек, ₽ ₽ ₽ ₽, ₽, ₽, ₽, ₽, •, Рестораны, •, •, •"
